year,month,day,title,start_time,end_time,location,map_url,link,link_label,description
2026,5,31,(船橋市) クリーン船橋 530の日,,,船橋市内全域,,,,例年5月の最終日曜日に船橋市内全域で行われる市民一斉の清掃イベントです。
2026,8,22,(小室地区連) 小室夏まつり,,,小室公園（船橋市小室町3313）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E5%85%AC%E5%9C%92%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA3313,,,8月22日(土)、23日(日)|小室公園で「小室夏まつり」が開催されます。模擬店や盆踊り、夜空を彩る打ち上げ花火が楽しめる地域の定番イベントです。
2026,10,11,(小室地区連) 敬老祝賀会,,,小室中学校（船橋市小室町898）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E4%B8%AD%E5%AD%A6%E6%A0%A1%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA898,,,例年10月に「小室地区敬老祝賀会」が小室中学校体育館などを会場に開催されています。小室地区連絡協議会および各町会・自治会が主催・企画運営を行っています。
2026,10,31,(公民館) 小室文化まつり,,,小室公民館（船橋市小室町3308）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E5%85%AC%E6%B0%91%E9%A4%A8%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA3308,,,10月31日(土)、11月1日(日)|小室公民館にて、2026年11月に開催予定です。サークル発表会や作品展示、体験コーナー、模擬店などが実施されます。
2026,11,8,(豊富社協) 豊富福祉まつり,,,小室小学校（船橋市小室町899）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E5%B0%8F%E5%AD%A6%E6%A0%A1%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA899,,,地域住民の交流と福祉への関心を深めるためのイベントです。舞台発表や福祉体験、健康・環境コーナー、模擬店などが催されます。
2026,11,15,(船橋市) 船橋をきれいにする日,,,船橋市内全域,,,,毎年11月の第3日曜日に開催され、市民や町会・自治会が道端のごみを拾い集めて街を美しくする活動を行っています。
2026,11,29,(船橋市) 船橋総合防災訓練,,,小室小学校（船橋市小室町899）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E5%B0%8F%E5%AD%A6%E6%A0%A1%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA899,,,例年11月に、市内全小中学校などの約82会場で全市民を対象とした「総合防災訓練」を実施しています。シェイクアウト訓練（いっせい行動訓練）をはじめ、避難所の開設・運営訓練や初期消火、備蓄品の確認などが行われます。
2027,3,28,(小室有志) 小室フェス,,,小室公園（船橋市小室町3313）,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%AE%A4%E5%85%AC%E5%9C%92%20%E8%88%B9%E6%A9%8B%E5%B8%82%E5%B0%8F%E5%AE%A4%E7%94%BA3313,,,春の桜の季節に開催されている、地域住民と食を楽しむ交流イベント（食フェス）です。地元飲食店やキッチンカーの出店、ステージパフォーマンスなどが行われます。
