year,month,title,url,description
2026,9,豆まめくらぶ会話会,https://drive.google.com/open?id=10m_tQ9BoS8E9ry9zih1cRhmRaupt2T26&usp=drive_fs,9月18日（金）11時〜14時、C棟集会所。参加費無料。C棟にお住まいの方はお気軽にご参加ください。
2026,8,自動車法定速度の改正（生活道路30km/h）,https://drive.google.com/open?id=1mO1m5CWDxthWXvMOjpRUVzjB6JOmABIg&usp=drive_fs,令和8年9月1日から、生活道路の法定速度が60km/hから30km/hに引き下げられます。
2026,8,小室夏まつりパンフレット,https://drive.google.com/open?id=1wXJ_EaBS1rrUfbGt9UBopUjopEVWMuHq&usp=drive_fs,令和8年 小室夏まつりのプログラムになります。
2026,8,小室夏まつりの騒音・花火カスについて,https://drive.google.com/open?id=1kqn9ozFhpSLBJGaRxp8uTqyR878mL3ro&usp=drive_fs,小室夏まつりの騒音・花火カスについての告知です。
