date,title,body,link,badge
2026-09-01,豆まめくらぶ会話会のご案内（9月18日）,"ハイランドサポーターズ倶楽部（豆まめくらぶ）主催の会話会です。9月18日（金）11時〜14時、C棟集会所。参加費無料（お菓子・飲み物付き）。C棟にお住まいの方はお気軽にご参加ください。同クラブは高齢者や支援が必要な方へゴミ出し・買い物などの生活サポートを行っています。自治会は応援協力しています。",https://drive.google.com/open?id=10m_tQ9BoS8E9ry9zih1cRhmRaupt2T26&usp=drive_fs,NEW
2026-09-01,広報紙「タウンタウン」2026年9月号を発行しました,最新号を紙での配付、及びPDFファイルのダウンロードが可能です。,https://drive.google.com/open?id=1aCJ5308_uBKtUIKM1Vv5mEO-b8tX_wQb&usp=drive_fs,NEW
2026-08-31,生活道路の法定速度が9月1日から30km/hに引き下げられます,"令和8年9月1日から、中央線などがない生活道路における自動車の法定速度が60km/hから30km/hに引き下げられます。道路標識で最高速度が指定されている場合はその速度が優先です。案内チラシのPDFを公開しています。",https://drive.google.com/open?id=1mO1m5CWDxthWXvMOjpRUVzjB6JOmABIg&usp=drive_fs,NEW
2026-08-20,小室夏まつりパンフレットを配布しました,紙での配付は終了。PDFファイルのダウンロードが可能です。,https://drive.google.com/open?id=1wXJ_EaBS1rrUfbGt9UBopUjopEVWMuHq&usp=drive_fs,NEW
2026-08-01,広報紙「タウンタウン」2026年8月号を発行しました,最新号を紙での配付、及びPDFファイルのダウンロードが可能です。,https://drive.google.com/open?id=16NHUiV_R4j_EK6gPpZ7UtWmfeRsH9FLi&usp=drive_fs,
2026-07-20,小室ハイランド自治会 広報用サイトのサンプル公開について,,news.html,
2026-07-01,可燃ごみ指定袋の品薄に伴う臨時措置,指定ごみ袋の品薄に伴い、可燃ごみを指定袋以外の「４５L以内の透明・半透明の袋」や「中身の見えるレジ袋」で出せる臨時措置が８月３１日まで延長されています。ただし、中身が見えない袋や紙袋は使用できません。,useful.html,
2026-05-01,広報メーリングリストへのご登録のお願い,紙の配布に加え、メールでもお知らせをお届けします。,index.html#mailing-list,
